    DATE     OPEN     HIGH      LOW    CLOSE     VOLUME
95/01/03   73.500   73.875   73.375   73.750      11679
95/01/04   73.875   74.625   73.250   74.375      19947
95/01/05   74.375   75.250   73.750   74.000      22709
95/01/06   74.250   75.750   74.125   75.125      30405
95/01/09   75.000   75.875   74.875   75.500      17130
95/01/10   76.000   77.250   75.625   76.625      34208
95/01/11   77.000   77.125   75.250   76.000      24500
95/01/12   75.875   76.375   75.500   76.000      22759
95/01/13   76.750   76.875   75.750   76.375      20303
95/01/16   76.375   78.000   76.375   77.500      27160
95/01/17   77.250   78.000   77.125   77.500      15963
95/01/18   77.625   77.875   76.625   77.250      18426
95/01/19   77.125   77.625   76.375   76.500      17139
95/01/20   76.375   76.500   75.000   75.375      33334
95/01/23   73.750   74.500   72.375   74.250      49188
95/01/24   74.125   74.875   73.500   74.000      31766
95/01/25   72.000   73.125   72.000   72.375      38080
95/01/26   72.375   73.375   72.250   72.375      21541
95/01/27   72.750   73.125   70.625   72.500      27171
95/01/30   72.750   73.000   71.500   71.750      14185
95/01/31   72.000   72.875   70.250   72.125      27379
95/02/01   72.375   73.875   72.250   73.625      32920
95/02/02   73.625   74.375   73.500   74.375      14586
95/02/03   74.875   75.250   74.500   74.625      25628
95/02/06   74.375   74.875   74.125   74.375      13521
95/02/07   74.250   74.375   73.875   74.250      14507
95/02/08   74.125   74.875   74.125   74.250      14964
95/02/09   74.250   75.250   74.250   75.000      19740
95/02/10   75.125   75.750   75.000   75.000      15390
95/02/13   75.125   75.375   74.750   74.875      12218
95/02/14   75.000   75.625   74.625   75.625      16964
95/02/15   75.625   75.875   75.125   75.625      16267
95/02/16   75.875   76.250   75.500   75.500      17024
95/02/17   75.750   75.750   74.750   75.000      29180
95/02/21   75.000   75.125   74.125   74.250      15570
95/02/22   74.250   74.875   74.125   74.250      17171
95/02/23   74.750   75.750   74.125   74.250      22066
95/02/24   74.250   75.375   74.250   74.875      15635
95/02/27   74.625   75.375   73.750   74.000      20532
95/02/28   74.000   75.250   74.000   75.250      17995
95/03/01   75.125   76.375   75.125   75.375      20505
95/03/02   75.375   77.375   75.375   77.250      24108
95/03/03   77.125   80.000   77.000   79.875      55640
95/03/06   79.625   81.250   79.500   80.250      50439
95/03/07   80.375   80.875   79.375   79.750      34571
95/03/08   79.750   80.000   78.500   79.750      30333
95/03/09   80.375   81.375   80.375   80.625      31284
95/03/10   80.875   81.625   80.375   81.125      23732
95/03/13   81.500   83.000   81.500   82.000      34912
95/03/14   82.250   82.750   81.500   81.500      22669
95/03/15   81.250   82.250   81.250   81.750      17712
