NUM     DATE      ADV      DEC    UNCHG   ADVVOL       DECVOL
00000 920601  950.000  775.000  557.000 10271.000       5616        0
00001 920602  815.000  917.000  541.000 6623.000      10819        0
00002 920603  843.000  848.000  580.000 11841.000       7270        0
00003 920604  762.000  942.000  544.000 8503.000       9849        0
00004 920605  780.000  868.000  611.000 7516.000       8998        0
00005 920608  827.000  887.000  561.000 6736.000       7087        0
00006 920609  580.000 1160.000  543.000 3845.000      13155        0
00007 920610  587.000 1121.000  576.000 5333.000      13116        0
00008 920611  781.000  868.000  623.000 9160.000       6991        0
00009 920612 1026.000  668.000  575.000 9584.000       6411        0
00010 920615  742.000  932.000  581.000 6622.000       6870        0
00011 920616  775.000  952.000  535.000 6420.000       9229        0
00012 920617  379.000 1426.000  464.000 3067.000      18521        0
00013 920618  598.000 1136.000  538.000 7016.000      11821        0
00014 920619 1014.000  715.000  555.000 14289.000       6135        0
00015 920622  602.000 1140.000  539.000 5330.000       9725        0
00016 920623 1011.000  721.000  560.000 10331.000       5892        0
00017 920624  868.000  845.000  559.000 7669.000       9615        0
00018 920625  861.000  815.000  604.000 7040.000       8302        0
00019 920626  855.000  822.000  594.000 6368.000       6531        0
00020 920629 1221.000  581.000  482.000 12535.000       3758        0
00021 920630 1004.000  727.000  573.000 9795.000       6865        0
00022 920701 1217.000  548.000  506.000 14350.000       4656        0
00023 920702  932.000  840.000  517.000 10182.000       9475        0
00024 920706 1010.000  794.000  501.000 9659.000       7189        0
00025 920707  720.000 1059.000  513.000 5382.000      13650        0
00026 920708  834.000  897.000  571.000 8670.000       8474        0
00027 920709 1229.000  517.000  553.000 13914.000       4082        0
00028 920710 1023.000  675.000  601.000 9119.000       5580        0
00029 920713  997.000  738.000  568.000 7077.000       5583        0
00030 920714 1095.000  659.000  558.000 12052.000       4782        0
00031 920715  901.000  797.000  614.000 8658.000       9108        0
00032 920716  877.000  820.000  600.000 9126.000       7995        0
00033 920717  613.000 1054.000  616.000 5526.000      10349        0
00034 920720  605.000 1111.000  585.000 5041.000       9299        0
00035 920721  901.000  844.000  566.000 8078.000       7137        0
00036 920722  643.000 1092.000  572.000 6009.000      10963        0
00037 920723  962.000  758.000  588.000 8191.000       6398        0
00038 920724  851.000  866.000  573.000 6593.000       7287        0
00039 920727  928.000  804.000  572.000 6664.000       6230        0
00040 920728 1373.000  444.000  515.000 17198.000       2802        0
